datetime,dollar,d_dollar,day_of_week,sin_month,cos_month
2013-05-25,31.3164,-0.15469999999999828,5,0.8660254037844387,-0.4999999999999998
2013-05-26,31.3164,0.0,6,0.8660254037844387,-0.4999999999999998
2013-05-27,31.3164,0.0,0,0.8660254037844387,-0.4999999999999998
2013-05-28,31.3025,-0.013900000000003132,1,0.8660254037844387,-0.4999999999999998
2013-05-29,31.3784,0.07590000000000074,2,0.8660254037844387,-0.4999999999999998
2013-05-30,31.5203,0.1418999999999997,3,0.8660254037844387,-0.4999999999999998
2013-05-31,31.5893,0.06900000000000261,4,0.8660254037844387,-0.4999999999999998
2013-06-01,31.7979,0.208599999999997,5,0.49999999999999994,-0.8660254037844387
2013-06-02,31.7979,0.0,6,0.49999999999999994,-0.8660254037844387
2013-06-03,31.7979,0.0,0,0.49999999999999994,-0.8660254037844387
2013-06-04,32.0487,0.25079999999999814,1,0.49999999999999994,-0.8660254037844387
2013-06-05,31.8344,-0.21429999999999794,2,0.49999999999999994,-0.8660254037844387
2013-06-06,31.9816,0.14720000000000155,3,0.49999999999999994,-0.8660254037844387
2013-06-07,32.1385,0.15690000000000026,4,0.49999999999999994,-0.8660254037844387
2013-06-08,32.2397,0.10119999999999862,5,0.49999999999999994,-0.8660254037844387
2013-06-09,32.2397,0.0,6,0.49999999999999994,-0.8660254037844387
2013-06-10,32.2397,0.0,0,0.49999999999999994,-0.8660254037844387
2013-06-11,32.3246,0.08489999999999753,1,0.49999999999999994,-0.8660254037844387
2013-06-12,32.3951,0.07050000000000267,2,0.49999999999999994,-0.8660254037844387
2013-06-13,32.3951,0.0,3,0.49999999999999994,-0.8660254037844387
2013-06-14,32.3467,-0.04840000000000089,4,0.49999999999999994,-0.8660254037844387
2013-06-15,31.8029,-0.5437999999999974,5,0.49999999999999994,-0.8660254037844387
2013-06-16,31.8029,0.0,6,0.49999999999999994,-0.8660254037844387
2013-06-17,31.8029,0.0,0,0.49999999999999994,-0.8660254037844387
2013-06-18,31.679,-0.12390000000000256,1,0.49999999999999994,-0.8660254037844387
2013-06-19,31.8824,0.20340000000000202,2,0.49999999999999994,-0.8660254037844387
2013-06-20,32.1201,0.23770000000000024,3,0.49999999999999994,-0.8660254037844387
2013-06-21,32.7041,0.5839999999999961,4,0.49999999999999994,-0.8660254037844387
2013-06-22,32.7433,0.03920000000000101,5,0.49999999999999994,-0.8660254037844387
2013-06-23,32.7433,0.0,6,0.49999999999999994,-0.8660254037844387
2013-06-24,32.7433,0.0,0,0.49999999999999994,-0.8660254037844387
2013-06-25,32.9097,0.166400000000003,1,0.49999999999999994,-0.8660254037844387
2013-06-26,32.714,-0.1957000000000022,2,0.49999999999999994,-0.8660254037844387
2013-06-27,32.8876,0.17360000000000042,3,0.49999999999999994,-0.8660254037844387
2013-06-28,32.8766,-0.01099999999999568,4,0.49999999999999994,-0.8660254037844387
2013-06-29,32.709,-0.1676000000000002,5,0.49999999999999994,-0.8660254037844387
2013-06-30,32.709,0.0,6,0.49999999999999994,-0.8660254037844387
2013-07-01,32.709,0.0,0,1.2246467991473532e-16,-1.0
2013-07-02,32.8517,0.14269999999999783,1,1.2246467991473532e-16,-1.0
2013-07-03,32.9475,0.095799999999997,2,1.2246467991473532e-16,-1.0
2013-07-04,33.2204,0.2728999999999999,3,1.2246467991473532e-16,-1.0
2013-07-05,33.1605,-0.059899999999998954,4,1.2246467991473532e-16,-1.0
2013-07-06,33.2247,0.06419999999999959,5,1.2246467991473532e-16,-1.0
2013-07-07,33.2247,0.0,6,1.2246467991473532e-16,-1.0
2013-07-08,33.2247,0.0,0,1.2246467991473532e-16,-1.0
2013-07-09,33.321,0.09629999999999939,1,1.2246467991473532e-16,-1.0
2013-07-10,33.0842,-0.23679999999999524,2,1.2246467991473532e-16,-1.0
2013-07-11,32.9112,-0.17300000000000182,3,1.2246467991473532e-16,-1.0
2013-07-12,32.5867,-0.32450000000000045,4,1.2246467991473532e-16,-1.0
2013-07-13,32.6429,0.05619999999999692,5,1.2246467991473532e-16,-1.0
2013-07-14,32.6429,0.0,6,1.2246467991473532e-16,-1.0
2013-07-15,32.6429,0.0,0,1.2246467991473532e-16,-1.0
2013-07-16,32.622,-0.020899999999997476,1,1.2246467991473532e-16,-1.0
2013-07-17,32.5417,-0.08030000000000115,2,1.2246467991473532e-16,-1.0
2013-07-18,32.4526,-0.08910000000000196,3,1.2246467991473532e-16,-1.0
2013-07-19,32.3998,-0.05279999999999774,4,1.2246467991473532e-16,-1.0
2013-07-20,32.4288,0.029000000000003467,5,1.2246467991473532e-16,-1.0
2013-07-21,32.4288,0.0,6,1.2246467991473532e-16,-1.0
2013-07-22,32.4288,0.0,0,1.2246467991473532e-16,-1.0
2013-07-23,32.3236,-0.10520000000000351,1,1.2246467991473532e-16,-1.0
2013-07-24,32.3106,-0.012999999999998124,2,1.2246467991473532e-16,-1.0
2013-07-25,32.3462,0.035600000000002296,3,1.2246467991473532e-16,-1.0
2013-07-26,32.5376,0.19139999999999446,4,1.2246467991473532e-16,-1.0
2013-07-27,32.6371,0.09949999999999903,5,1.2246467991473532e-16,-1.0
2013-07-28,32.6371,0.0,6,1.2246467991473532e-16,-1.0
2013-07-29,32.6371,0.0,0,1.2246467991473532e-16,-1.0
2013-07-30,32.8556,0.2185000000000059,1,1.2246467991473532e-16,-1.0
2013-07-31,32.8901,0.0344999999999942,2,1.2246467991473532e-16,-1.0
2013-08-01,33.033,0.14290000000000447,3,-0.4999999999999997,-0.8660254037844388
2013-08-02,32.9741,-0.058900000000001285,4,-0.4999999999999997,-0.8660254037844388
2013-08-03,33.0978,0.12369999999999948,5,-0.4999999999999997,-0.8660254037844388
2013-08-04,33.0978,0.0,6,-0.4999999999999997,-0.8660254037844388
2013-08-05,33.0978,0.0,0,-0.4999999999999997,-0.8660254037844388
2013-08-06,32.8811,-0.2166999999999959,1,-0.4999999999999997,-0.8660254037844388
2013-08-07,32.939,0.05789999999999651,2,-0.4999999999999997,-0.8660254037844388
2013-08-08,32.9848,0.04579999999999984,3,-0.4999999999999997,-0.8660254037844388
